distance_m,signal_mean_pct,rx_link_rate_mean,rtt_mean_ms,jitter_ms,packet_loss_pct,throughput_down_mbps
5,90.0,144.4,1.5,0.777777778,0.0,88.20549249
15,33.25,1.0,108.8888889,55.5,10.0,0.0
15,34.0,1.0,290.5,262.2222222,0.0,0.105660079
1,84.23076923,866.7,1.0,0.0,0.0,93.40174041
1,83.0,866.7,2.111111111,2.5,10.0,94.60629073
15,24.5,1.083333333,241.5,203.0,0.0,0.104828919
1,84.23076923,866.7,1.2,0.444444444,0.0,94.31929472
5,89.75,144.4,11.2,18.33333333,0.0,92.43322292
15,33.5,1.0,192.4,253.4444444,0.0,0.0
1,84.07692308,866.7,1.4,0.888888889,0.0,92.88997442
5,84.16666667,144.4,3.1,4.111111111,0.0,30.06156551
1,79.0,866.7,1.7,1.111111111,0.0,94.57615592
1,79.33333333,866.7,1.6,1.0,0.0,94.57853652
5,89.91666667,144.4,2.9,3.888888889,0.0,52.08656403
1,84.23076923,866.7,1.0,0.0,0.0,93.8173033
5,90.0,144.4,2.444444444,2.25,10.0,69.7623367
5,89.91666667,144.4,1.9,0.888888889,0.0,88.19087565
1,84.0,866.7,1.0,0.0,0.0,93.22033942
15,33.75,1.0,202.0,192.25,10.0,0.0
15,24.0,1.0,162.7,215.0,0.0,0.0
1,84.38461538,866.7,1.0,0.0,0.0,93.46997109
5,94.33333333,144.4,2.0,2.0,0.0,59.74207353
5,90.0,144.4,3.9,4.0,0.0,86.37440933
5,83.91666667,144.4,9.3,7.777777778,0.0,10.57871549
15,33.5,1.0,262.4,250.4444444,0.0,0.0
1,84.75,866.7,2.333333333,1.5,10.0,94.18772343
1,84.0,866.7,1.0,0.0,0.0,94.03123332
5,90.75,144.4,4.0,3.375,10.0,94.25292109
5,92.91666667,144.4,3.7,4.111111111,0.0,83.7905755
1,83.0,866.7,3.2,4.333333333,0.0,94.76166686
15,28.75,1.0,199.7,334.7777778,0.0,0.0
5,90.0,144.4,10.5,11.0,0.0,91.75159665
5,89.83333333,144.4,1.9,0.666666667,0.0,91.85874907
1,84.66666667,866.7,1.0,0.0,0.0,89.20160801
15,21.0,1.0,124.7,123.0,0.0,0.0
5,90.0,144.4,1.7,0.888888889,0.0,89.14662329
1,80.25,866.7,1.7,0.888888889,0.0,94.70516446
15,21.0,1.0,128.9,111.7777778,0.0,0.0
15,31.75,1.0,367.2,335.8888889,0.0,0.104727696
5,86.0,144.4,1.3,0.555555556,0.0,75.92561539
5,89.81818182,144.4,4.4,4.444444444,0.0,87.48265431
5,90.25,144.4,2.4,2.0,0.0,90.27211161
1,84.25,866.7,2.4,2.444444444,0.0,94.35364158
1,84.08333333,866.7,1.1,0.222222222,0.0,93.41770176
15,35.5,1.333333333,605.4,466.1111111,0.0,0.104850764
1,82.41666667,866.7,1.4,0.888888889,0.0,93.3405122
5,84.91666667,144.4,4.1,5.222222222,0.0,29.44064702
1,83.58333333,866.7,1.0,0.0,0.0,93.95935216
5,85.0,144.4,11.0,15.55555556,0.0,20.02036604
15,25.5,1.083333333,184.4,179.5555556,0.0,0.104831141
5,90.0,144.4,1.8,1.222222222,0.0,89.53042164
5,85.0,144.4,1.3,0.666666667,0.0,69.68622746
15,33.25,1.0,546.4,663.7777778,0.0,0.104801741
1,84.41666667,866.7,1.1,0.222222222,0.0,94.64958943
5,86.33333333,144.4,18.1,16.55555556,0.0,7.649728863
15,30.0,1.0,622.1,442.5555556,0.0,1.572752964
5,84.16666667,144.4,5.0,4.888888889,0.0,25.6525541
5,90.0,144.4,3.111111111,4.0,10.0,80.24874588
5,90.0,144.4,2.2,2.222222222,0.0,90.76571903
15,32.0,1.0,300.0,228.7777778,0.0,0.209592253
15,25.75,1.0,298.5,267.3333333,0.0,0.104759085
15,23.25,1.0,220.1,281.0,0.0,0.0
1,80.0,866.7,1.25,0.571428571,20.0,94.76528557
1,80.0,866.7,2.0,2.0,10.0,94.54638758
15,30.5,1.0,179.5,249.0,0.0,0.104753308
15,33.25,13.375,1309.428571,1428.0,20.0,0.104726995
5,90.0,144.4,1.6,1.333333333,0.0,88.17387721
5,90.0,144.4,2.444444444,3.25,10.0,88.48346266
15,24.0,1.0,201.2,197.7777778,0.0,0.0
1,79.91666667,866.7,1.1,0.222222222,0.0,94.71348222
15,35.75,1.0,569.4,166.8888889,0.0,0.104749436
5,85.41666667,144.4,1.2,0.333333333,0.0,56.15927408
15,32.0,1.0,718.0,827.875,10.0,0.0
15,33.5,1.0,933.0,801.625,10.0,0.0
15,24.0,1.0,80.9,84.0,0.0,0.0
1,84.16666667,866.7,1.1,0.222222222,0.0,91.87312972
15,33.25,1.083333333,114.7777778,141.0,10.0,0.104838163
15,43.25,9.666666667,23.0,20.55555556,0.0,0.0
15,33.0,1.0,1014.888889,1090.625,10.0,0.0
15,33.25,1.083333333,531.6,784.5555556,0.0,0.104749436
5,89.66666667,144.4,1.9,1.666666667,0.0,87.54271947
5,87.0,144.4,5.5,6.111111111,0.0,75.58194515
1,79.83333333,866.7,3.1,3.888888889,0.0,94.54077031
5,90.0,144.4,1.8,1.111111111,0.0,94.00915332
1,83.0,866.7,1.7,1.555555556,0.0,94.57161572
15,33.75,1.0,408.9,522.7777778,0.0,0.104801741
1,80.0,866.7,2.8,3.555555556,0.0,94.69782259
1,80.0,866.7,2.2,2.333333333,0.0,94.62024486
5,85.16666667,144.4,10.8,8.111111111,0.0,13.7188294
15,34.75,1.0,459.9,450.7777778,0.0,0.104711005
1,83.0,866.7,1.2,0.444444444,0.0,94.04674825
1,84.08333333,866.7,1.0,0.0,0.0,93.13842843
1,84.30769231,866.7,1.0,0.0,0.0,93.77391135
15,28.5,1.0,1001.5,606.5555556,0.0,0.105773314
5,90.0,144.4,1.7,0.888888889,0.0,92.00871867
15,50.5,1.083333333,879.5,871.8888889,0.0,0.209389286
5,90.0,144.4,1.2,0.444444444,0.0,90.56314466
15,30.0,1.083333333,412.8,438.2222222,0.0,0.209523653
5,89.0,144.4,1.9,2.0,0.0,87.67610977
1,84.5,866.7,1.0,0.0,0.0,94.63726767
5,84.25,144.4,3.2,4.222222222,0.0,26.92738907
5,90.0,144.4,1.3,0.111111111,0.0,89.89285914
15,34.25,1.0,232.2,429.3333333,0.0,0.104778314
15,39.75,1.0,53.8,33.88888889,0.0,0.0
15,33.46153846,1.0,285.6,485.4444444,0.0,0.104856142
15,31.25,1.0,1132.9,804.5555556,0.0,0.0
5,90.0,144.4,3.888888889,5.625,10.0,75.81922449
1,79.91666667,866.7,1.625,1.428571429,20.0,94.68859009
