observation_id,timestamp,session_id,location_id,time_of_day,signal_mean,signal_std,rx_link_rate_mean,tx_link_rate_mean,rtt_mean_ms,rtt_std_ms,jitter_ms,packet_loss_pct,throughput_down_mbps
O001,2026-09-05T16:15:15,D5_1_AFTERNOON,1,afternoon,79.41666667,0.514928651,866.7,866.7,1.1,0.316227766,0.222222222,0,94.40261043
O002,2026-09-05T16:15:36,D5_1_AFTERNOON,1,afternoon,80,0,866.7,866.7,1.8,2.529822128,0.888888889,0,94.36514951
O003,2026-09-05T16:15:57,D5_1_AFTERNOON,1,afternoon,80,0,866.7,866.7,2.666666667,4.636809248,1.75,10,94.67287251
O004,2026-09-05T16:16:23,D5_1_AFTERNOON,1,afternoon,80,0,866.7,866.7,1.555555556,1.333333333,1.125,10,93.96842006
O005,2026-09-05T16:16:48,D5_1_AFTERNOON,1,afternoon,81,0,866.7,866.7,3.8,4.732863826,4.222222222,0,94.64788165
O006,2026-09-05T16:17:09,D5_1_AFTERNOON,1,afternoon,81,0,866.7,866.7,3.2,4.962078418,4.888888889,0,94.71666209
O007,2026-09-05T16:17:31,D5_1_AFTERNOON,1,afternoon,81,0,866.7,866.7,2.5,4.403281605,1.777777778,0,94.67115164
O008,2026-09-05T16:17:52,D5_1_AFTERNOON,1,afternoon,80.25,0.621581561,866.7,866.7,1.7,0.823272602,0.888888889,0,94.70516446
O009,2026-09-05T16:18:13,D5_1_AFTERNOON,1,afternoon,82,0,866.7,866.7,1.1,0.316227766,0.222222222,0,94.70400066
O010,2026-09-05T16:18:35,D5_1_AFTERNOON,1,afternoon,82,0,866.7,866.7,3.111111111,5.011098793,2.875,10,94.660561
O011,2026-09-05T16:19:00,D5_1_AFTERNOON,1,afternoon,82,0,866.7,866.7,2.8,3.583914682,3.888888889,0,94.69858889
O012,2026-09-05T16:19:22,D5_1_AFTERNOON,1,afternoon,79.91666667,0.288675135,866.7,866.7,1.1,0.316227766,0.222222222,0,94.71348222
O013,2026-09-05T16:19:43,D5_1_AFTERNOON,1,afternoon,80,0,866.7,866.7,1,0,0,0,94.54600253
